model,roc_auc,pr_auc,precision,recall,f1,accuracy,balanced_accuracy,threshold
Logistic Regression Baseline,0.6726,0.2586,0.2425,0.6442,0.3524,0.6300,0.6358,0.5000
DNN,0.6722,0.2581,0.2292,0.6527,0.3392,0.6027,0.6231,0.5000
